"Statistic Label","Year","Digital Service","Geographic Location","UNIT","VALUE"
"Household Expenditure on Digital Services","2020","Social Media/ Dating","Malta","Euro Million","0"
"Household Expenditure on Digital Services","2020","Social Media/ Dating","Netherlands","Euro Million","0"
"Household Expenditure on Digital Services","2020","Social Media/ Dating","United Kingdom","Euro Million","8"
"Household Expenditure on Digital Services","2020","Social Media/ Dating","EMU19","Euro Million","1"
"Household Expenditure on Digital Services","2020","Social Media/ Dating","EU27","Euro Million","1"
"Household Expenditure on Digital Services","2020","Social Media/ Dating","North America","Euro Million","6"
"Household Expenditure on Digital Services","2020","Social Media/ Dating","United States","Euro Million","5"
"Household Expenditure on Digital Services","2020","Social Media/ Dating","Rest of the World","Euro Million","0"
"Household Expenditure on Digital Services","2020","Social Media/ Dating","Not geographically allocated","Euro Million","33"
"Household Expenditure on Digital Services","2020","Social Media/ Dating","All Countries","Euro Million","49"
"Household Expenditure on Digital Services","2020","Fiancial/ Banking/ Business","Europe","Euro Million","8"
"Household Expenditure on Digital Services","2020","Fiancial/ Banking/ Business","Ireland","Euro Million",""
"Household Expenditure on Digital Services","2020","Fiancial/ Banking/ Business","France","Euro Million","0"
"Household Expenditure on Digital Services","2020","Fiancial/ Banking/ Business","Germany","Euro Million",""
"Household Expenditure on Digital Services","2020","Fiancial/ Banking/ Business","Luxembourg","Euro Million",""
"Household Expenditure on Digital Services","2020","Fiancial/ Banking/ Business","Malta","Euro Million","0"
"Household Expenditure on Digital Services","2020","Fiancial/ Banking/ Business","Netherlands","Euro Million",""
"Household Expenditure on Digital Services","2020","Fiancial/ Banking/ Business","United Kingdom","Euro Million","6"
"Household Expenditure on Digital Services","2020","Fiancial/ Banking/ Business","EMU19","Euro Million","2"
"Household Expenditure on Digital Services","2020","Fiancial/ Banking/ Business","EU27","Euro Million","2"
"Household Expenditure on Digital Services","2020","Fiancial/ Banking/ Business","North America","Euro Million","1"
"Household Expenditure on Digital Services","2020","Fiancial/ Banking/ Business","United States","Euro Million","1"
"Household Expenditure on Digital Services","2020","Fiancial/ Banking/ Business","Rest of the World","Euro Million",""
"Household Expenditure on Digital Services","2020","Fiancial/ Banking/ Business","Not geographically allocated","Euro Million","0"
"Household Expenditure on Digital Services","2020","Fiancial/ Banking/ Business","All Countries","Euro Million","10"
"Household Expenditure on Digital Services","2020","Data Storage/ Software Services","Europe","Euro Million","37"
"Household Expenditure on Digital Services","2020","Data Storage/ Software Services","Ireland","Euro Million","18"
"Household Expenditure on Digital Services","2020","Data Storage/ Software Services","France","Euro Million","1"
"Household Expenditure on Digital Services","2020","Data Storage/ Software Services","Germany","Euro Million","4"
"Household Expenditure on Digital Services","2020","Data Storage/ Software Services","Luxembourg","Euro Million","0"
"Household Expenditure on Digital Services","2020","Data Storage/ Software Services","Malta","Euro Million","0"
"Household Expenditure on Digital Services","2020","Data Storage/ Software Services","Netherlands","Euro Million","2"
"Household Expenditure on Digital Services","2020","Data Storage/ Software Services","United Kingdom","Euro Million","8"
"Household Expenditure on Digital Services","2020","Data Storage/ Software Services","EMU19","Euro Million","28"
"Household Expenditure on Digital Services","2020","Data Storage/ Software Services","EU27","Euro Million","29"
"Household Expenditure on Digital Services","2020","Data Storage/ Software Services","North America","Euro Million","12"
"Household Expenditure on Digital Services","2020","Data Storage/ Software Services","United States","Euro Million","12"
"Household Expenditure on Digital Services","2020","Data Storage/ Software Services","Rest of the World","Euro Million","4"
"Household Expenditure on Digital Services","2020","Data Storage/ Software Services","Not geographically allocated","Euro Million","1"
"Household Expenditure on Digital Services","2020","Data Storage/ Software Services","All Countries","Euro Million","55"
"Household Expenditure on Digital Services","2020","Other Online Services","Europe","Euro Million","33"
"Household Expenditure on Digital Services","2020","Other Online Services","Ireland","Euro Million",""
